UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,year
UEI-EM-DAT-FL-2000-0005,2000-09-18,2000-10-21,33,Riverine flood,"['Birbhum', ' Bardhaman', ' Murshidabad', ' Maldah districts (West Bengal province)', ' Dumka', ' Sahibganj', ' Deoghar districts (Jharkhand province)', ' Banka', ' Bhagalpur', ' Munger', ' Sheikhpura districts (Bihar province)']",,,,,,,,,,,,,EM-DAT,2000-0610,2000
UEI-EM-DAT-FL-2000-0006,2000-10-19,2000-10-19,0,,['North 24 Parganas district (West Bengal province)'],,,,,,,,,,,,,EM-DAT,2000-0738,2000
UEI-EM-DAT-FL-2001-0001,2001-06-05,2001-06-22,17,Riverine flood,"['Silchar city (Cachar district', ' Assam province)', ' Patharkandi village (Karimganj district', ' Assam province)', ' West Tripura district (Tripura province)']",,,,,,,,,,,,,EM-DAT,2001-0243,2001
UEI-EM-DAT-FL-2001-0002,2001-07-08,2001-07-10,2,Riverine flood,"['Marshagal', ' Mahakalpada villages (Kendrapara district', ' Orissa province)', ' Kakatpur', ' Astaranga', ' Kanas', ' Delanga villages (Puri district', ' Orissa province)', ' Banki', ' Kantapada villages (Cuttack district', ' Orissa province)', ' Balipatna villages (Khordha district', ' Orissa province)', ' Atharmalik villages (Angul district', ' Orissa province)', ' Jajpur', ' Jagatsinghpur', ' Kalahandi', ' Koraput', ' Bolangir', ' Nayagarh', ' Baleshwar', ' Bhadrak districts (Orissa province)', ' Dhamtari', ' Raipur', ' Mahasamund', ' Janjgir-Champa', ' Raigarh districts (Chhattisgarh province)']",,,,,,,,,,,,,EM-DAT,2001-0332,2001
UEI-EM-DAT-FL-2001-0003,/06/2001,/06/2001,Diffing the dates,,"['Hosdurg borough (Kanhangad city', ' Kasaragod district', ' Kerala province)', ' Vertak Nagar area (Thane district', ' Maharashtra province)', ' Bhandup area (Mumbai Suburban district', ' Maharashtra province)']",,,,,,,,,,,,,EM-DAT,2001-0349,2001
UEI-EM-DAT-FL-2001-0004,2001-07-04,2001-07-16,12,Riverine flood,"['Idukki', ' Kottayam', ' Pattanamtitta', ' Kollam', ' Alappuzha districts (Kerala province)']",,,,,,,,,,,,,EM-DAT,2001-0387,2001
UEI-EM-DAT-FL-2001-0005,/08/2001,/08/2001,Diffing the dates,Riverine flood,"['Aurangabad', ' Bhojpur', ' Gopalganj', ' Jehanabad', ' Muzaffarpur', ' Nalanda', ' Pashchim Champaran', ' Patna', ' Purba Champaran', ' Rohtas', ' Saran', ' Sitamarhi', ' Siwan', ' Vaishali districts (Bihar province)']",,,,,,,,,,,,,EM-DAT,2001-0465,2001
UEI-EM-DAT-FL-2001-0006,/08/2001,/08/2001,Diffing the dates,,['Delhi province'],,,,,,,,,,,,,EM-DAT,2001-0502,2001
UEI-EM-DAT-FL-2001-0007,2001-08-20,2001-08-20,0,,"['Gopalganj', ' Purba Champaran', ' Pashchim Champaran', ' Muzaffarpur', ' Vaishali', ' Saran districts (Bihar province)']",,,,,,,,,,,,,EM-DAT,2001-0515,2001
UEI-EM-DAT-FL-2001-0008,/09/2001,/09/2001,Diffing the dates,Flash flood,"['Saran', ' Gopalganj', ' Purba Champaran', ' Madhubani districts (Bihar province)', ' Uttar Pradesh province']",,,,,,,,,,,,,EM-DAT,2001-0527,2001
